movie_id,title,genre,plot
1,The Shawshank Redemption,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
2,The Godfather,Crime,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
3,The Dark Knight,Action,"When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
4,Pulp Fiction,Crime,"The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
5,Schindler's List,Biography,"In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
6,The Lord of the Rings: The Return of the King,Adventure,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
7,Fight Club,Drama,"An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into something much, much more."
8,Forrest Gump,Drama,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75."
9,Inception,Sci-Fi,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
10,The Matrix,Sci-Fi,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
11,Goodfellas,Biography,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito."
12,The Empire Strikes Back,Action,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader."
13,City of God,Crime,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
14,The Silence of the Lambs,Thriller,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to catch another serial killer, a madman who skins his victims."
15,Se7en,Crime,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
16,The Usual Suspects,Mystery,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which begin when five criminals meet at a seemingly random police lineup."
17,Saving Private Ryan,War,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
18,Spirited Away,Animation,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, where humans are changed into beasts."
19,Parasite,Thriller,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
20,Interstellar,Sci-Fi,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.